Date,Open,High,Low,Close,Adj Close,Volume,Change
1-Nov-01,6.98,7.02,6.13,6.97,4.78,"6,865,126",0.995833333
1-Oct-01,7.65,7.69,6.09,6.88,4.72,"7,763,983",0.987447699
1-Sep-01,7.78,8.12,7.29,7.62,5.22,"4,851,027",1.105932203
1-Aug-01,7.78,8.42,7.59,7.82,5.36,"7,428,111",1.026819923
1-Jul-01,9.03,9.3,7.59,7.72,5.29,"10,598,535",0.986940299
25-Jun-01,0.08 Dividend,,,,,,
1-Jun-01,8.67,9.31,8.61,9.02,6.13,"19,462,591",1.15879017
1-May-01,8.53,9.18,8.52,8.67,5.9,"11,540,277",0.962479608
1-Apr-01,8.4,8.84,8.34,8.56,5.82,"14,707,247",0.986440678
1-Mar-01,7.97,8.49,7.69,8.39,5.7,"13,738,599",0.979381443
1-Feb-01,9.27,9.4,7.2,7.98,5.43,"16,449,931",0.952631579
1-Jan-01,9.29,9.67,9.16,9.33,6.35,"11,953,412",1.169429098
1-Dec-00,9.43,9.6,9.2,9.38,6.38,"20,084,681",1.004724409
1-Nov-00,9.86,10.23,9.39,9.43,6.42,"50,795,036",1.006269592
